city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed,cloudiness
japura,-23.469273,-52.55572,Clouds,64.2,85,1010,9.62,86
redlands,34.0550328,-117.1827445,Clear,54.91,49,1014,3.44,0
buala,-8.145546,159.5930366,Clouds,82.58,77,1007,3.85,96
puro,42.7328012,13.034065,Clouds,31.57,72,1020,3.36,40
sangar,37.179787,49.6947763,Mist,56.71,100,1024,0.0,40
petrov val,50.139622,45.2141,Clouds,27.63,53,1035,13.58,99
luwuk,-0.9528231,122.7880198,Rain,85.62,69,1007,1.68,100
dombas,62.0755539,9.1278983,Clouds,30.61,99,1021,7.96,100
homer,59.6440876,-151.5401477,Clear,21.65,55,1031,14.0,0
bayir,30.7619622,36.6801628,Clouds,57.4,62,1013,9.44,100
puerto escondido,15.8693331,-97.0726428,Clear,76.71,73,1014,5.75,0
pokaran,26.9198813,71.9197573,Clear,79.27,12,1013,3.74,0
turayf,31.6725877,38.6615532,Clouds,50.25,93,1016,20.71,99
amahai,-3.3081717,129.0010636,Clouds,82.9,66,1006,4.05,96
gat,45.7023377,18.3246957,Clouds,37.78,89,1023,4.83,14
arraial do cabo,-22.9662839,-42.024427,Clouds,72.68,92,1009,20.8,67
olinda,-7.9986401,-34.8459552,Clouds,78.82,73,1009,4.61,40
erzin,36.9558796,36.199108,Clouds,56.84,64,1018,6.96,75
tucuman,-26.8303703,-65.2038133,Clear,68.04,64,1011,3.44,0
mason city,43.1524574,-93.2017941,Clear,20.89,93,1011,0.0,0
mulege,26.891329,-111.982641,Clear,60.3,47,1016,3.33,0
cururupu,-1.824255,-44.872996,Clouds,74.44,93,1008,2.51,100
senador guiomard,-9.9765,-67.31913961038961,Clouds,72.16,83,1008,2.75,89
dudinka,69.406067,86.175072,Clouds,2.66,97,1035,11.63,100
sayabec,48.566157,-67.688141,Snow,32.38,99,997,3.18,100
campo largo,-25.4597726,-49.5270851,Clouds,58.73,98,1013,7.2,100
kupang,-10.1632209,123.6017755,Clouds,81.01,83,1008,3.44,100
husavik,66.0433168,-17.3410402,Clouds,32.86,85,996,11.48,90
letlhakane,-21.4219913,25.5880424,Clouds,73.8,64,1011,10.18,57
sorland,61.8986221,5.7912616,Clouds,48.88,61,1013,2.3,75
lorengau,-2.0329567,147.2789185,Clouds,84.02,69,1006,7.02,65
hammerfest,70.6413392,23.8360800591327,Clear,29.19,74,1018,3.44,0
vila franca do campo,37.7171624,-25.4335352,Clouds,66.2,91,1024,18.66,100
sibolga,1.736957,98.78461,Clouds,85.12,66,1009,5.7,90
tsihombe,-25.318547,45.484057,Clouds,86.86,45,1010,7.74,47
hambantota,6.1249126,81.1242563,Clouds,86.32,54,1010,4.61,20
alice springs,-23.6983884,133.8812885,Clouds,81.95,26,1012,8.05,100
thisted,56.9562093,8.6848749,Rain,41.95,83,1013,22.84,100
nouadhibou,20.9127045,-17.0503094,Clear,69.53,55,1012,14.54,0
mantua,45.1566683,10.7917191,Clouds,38.1,90,1020,2.06,99
kruisfontein,-34.0119558,24.7433295,Clear,68.99,64,1016,17.16,7
san juan,18.465299,-66.116666,Clouds,75.16,90,1015,9.62,54
richards bay,-28.7707857,32.0577775,Clouds,72.79,62,1018,9.51,64
clyde river,46.2239354,-63.2576799,Rain,40.77,86,998,6.91,100
taksimo,56.355515,114.837982,Clouds,-11.24,67,1042,2.57,28
stykkisholmur,65.0742584,-22.7302954,Clouds,35.58,66,1001,6.96,33
altamira,-3.204065,-52.209961,Clouds,76.87,74,1008,3.06,97
hihifo,-19.8154734,-174.35413,Clouds,82.42,69,1013,9.22,75
kendari,-3.9918068,122.5180066,Rain,87.22,67,1006,4.47,53
college,45.32664695,-75.83855656986515,Clouds,38.8,92,1000,9.22,100
santa rosa,38.4404925,-122.7141049,Clear,44.96,79,1028,4.61,0
iranshahr,27.2069903,60.6882515,Clear,71.89,18,1017,4.61,0
sept-iles,50.2109579,-66.3790642,Clouds,29.28,93,997,5.75,75
bozoum,6.3147379,16.3806392,Clouds,69.71,42,1011,1.5,98
natchitoches,31.7606732,-93.0860209,Clear,46.38,100,1015,0.0,0
hofn,64.2532647,-15.2080441,Clouds,39.45,68,996,12.71,82
mbandaka,0.0470732,18.2564803,Clouds,71.15,94,1010,2.98,56
longyearbyen,78.2231558,15.6463656,Clear,30.47,80,1018,0.0,0
constitucion,-35.3318306,-72.4118998,Clouds,55.67,92,1013,4.29,69
